Date,Close/Last,Volume,Open,High,Low
10/15/2021,$7.36,10641190,$7.58,$7.58,$7.36
10/14/2021,$7.53,11112920,$7.47,$7.65,$7.46
10/13/2021,$7.43,15293310,$7.37,$7.52,$7.29
10/12/2021,$7.33,12344510,$7.38,$7.49,$7.32
10/11/2021,$7.37,5677800,$7.43,$7.4954,$7.36
10/08/2021,$7.43,9150111,$7.52,$7.53,$7.41
10/07/2021,$7.49,16171130,$7.32,$7.615,$7.3
10/06/2021,$7.29,17053040,$7.28,$7.305,$7.14
10/05/2021,$7.28,16780440,$7.22,$7.36,$7.21
10/04/2021,$7.23,16337850,$7.42,$7.42,$7.19
10/01/2021,$7.49,16738150,$7.55,$7.6,$7.41
09/30/2021,$7.53,24725560,$7.54,$7.6,$7.35
09/29/2021,$7.55,20252710,$7.44,$7.67,$7.44
09/28/2021,$7.47,13919240,$7.48,$7.53,$7.4
09/27/2021,$7.56,21299410,$7.64,$7.67,$7.48
09/24/2021,$7.65,27751460,$7.61,$7.69,$7.55
09/23/2021,$7.64,18615910,$7.685,$7.85,$7.6
09/22/2021,$7.6,28353800,$7.66,$7.7,$7.56
09/21/2021,$7.66,17809390,$7.77,$7.8,$7.55
09/20/2021,$7.74,19730010,$7.875,$7.96,$7.65
09/17/2021,$8.01,38055400,$8.028,$8.06,$7.77
09/16/2021,$7.99,13402770,$7.9,$8.1,$7.83
09/15/2021,$8.05,32619580,$8.17,$8.18,$7.93
09/14/2021,$8.19,35774360,$8.39,$8.39,$8.17
09/13/2021,$8.33,26278170,$8.66,$8.76,$8.315
09/10/2021,$8.8,53180580,$8.36,$9.1,$8.3
09/09/2021,$8.28,27864080,$8.462,$8.5,$8.24
09/08/2021,$8.53,20364130,$8.679,$8.7982,$8.46
09/07/2021,$8.66,18898090,$8.85,$8.89,$8.62
09/03/2021,$8.8,13830590,$8.84,$8.96,$8.8
09/02/2021,$8.83,13032870,$8.81,$8.91,$8.79
09/01/2021,$8.83,14476680,$8.89,$8.98,$8.81
08/31/2021,$8.85,20488000,$8.92,$9,$8.815
08/30/2021,$8.88,20557630,$9,$9.1199,$8.86
08/27/2021,$9,25435970,$8.84,$9.1,$8.8
08/26/2021,$8.76,20507750,$8.68,$8.8399,$8.6
08/25/2021,$8.66,12360200,$8.81,$8.85,$8.59
08/24/2021,$8.83,15469380,$8.81,$8.955,$8.795
08/23/2021,$8.77,19457440,$8.54,$8.89,$8.53
08/20/2021,$8.51,20519430,$8.36,$8.56,$8.36
08/19/2021,$8.37,21796430,$8.165,$8.42,$8.15
08/18/2021,$8.2,11997130,$8.2,$8.3,$8.1501
08/17/2021,$8.21,19603740,$8.08,$8.27,$8.05
08/16/2021,$8.14,20725900,$8.16,$8.38,$8.06
08/13/2021,$8.27,34767270,$8.19,$8.33,$8.0225
08/12/2021,$8.2,30312400,$7.94,$8.225,$7.9149
08/11/2021,$7.94,39034150,$8.05,$8.08,$7.79
08/10/2021,$8.07,34375570,$8.17,$8.2,$7.97
08/09/2021,$8.11,42553230,$8.06,$8.31,$8.04
08/06/2021,$7.99,101520300,$8.25,$8.255,$7.92
